,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
67,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(183.8, 189.7]","(3780.0, 4140.0]"
68,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(189.7, 195.6]","(2696.4, 3060.0]"
69,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(195.6, 201.5]","(4140.0, 4500.0]"
70,Adelie,"(32.072, 34.85]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
71,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
72,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
73,Adelie,"(43.1, 45.85]","(18.14, 18.98]","(195.6, 201.5]","(4140.0, 4500.0]"
74,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
75,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(4140.0, 4500.0]"
76,Adelie,"(40.35, 43.1]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
77,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(183.8, 189.7]","(3780.0, 4140.0]"
78,Adelie,"(34.85, 37.6]","(15.62, 16.46]","(183.8, 189.7]","(3420.0, 3780.0]"
79,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(189.7, 195.6]","(3780.0, 4140.0]"
80,Adelie,"(32.072, 34.85]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
81,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(195.6, 201.5]","(4500.0, 4860.0]"
82,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(183.8, 189.7]","(3780.0, 4140.0]"
83,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(189.7, 195.6]","(4140.0, 4500.0]"
84,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
85,Adelie,"(40.35, 43.1]","(19.82, 20.66]","(189.7, 195.6]","(3420.0, 3780.0]"
86,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(189.7, 195.6]","(3780.0, 4140.0]"
87,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(183.8, 189.7]","(3420.0, 3780.0]"
88,Adelie,"(37.6, 40.35]","(18.98, 19.82]","(183.8, 189.7]","(3780.0, 4140.0]"
89,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
90,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(201.5, 207.4]","(3420.0, 3780.0]"
91,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(201.5, 207.4]","(4140.0, 4500.0]"
92,Adelie,"(32.072, 34.85]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
93,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(4140.0, 4500.0]"
94,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
95,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(207.4, 213.3]","(4140.0, 4500.0]"
96,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
97,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(195.6, 201.5]","(4140.0, 4500.0]"
98,Adelie,"(32.072, 34.85]","(15.62, 16.46]","(177.9, 183.8]","(2696.4, 3060.0]"
99,Adelie,"(43.1, 45.85]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
100,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
101,Adelie,"(40.35, 43.1]","(19.82, 20.66]","(201.5, 207.4]","(4500.0, 4860.0]"
102,Adelie,"(37.6, 40.35]","(15.62, 16.46]","(177.9, 183.8]","(3060.0, 3420.0]"
103,Adelie,"(37.6, 40.35]","(19.82, 20.66]","(189.7, 195.6]","(4140.0, 4500.0]"
104,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(2696.4, 3060.0]"
105,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(183.8, 189.7]","(3420.0, 3780.0]"
106,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
107,Adelie,"(37.6, 40.35]","(19.82, 20.66]","(189.7, 195.6]","(3780.0, 4140.0]"
108,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(177.9, 183.8]","(3060.0, 3420.0]"
109,Adelie,"(43.1, 45.85]","(18.98, 19.82]","(195.6, 201.5]","(4500.0, 4860.0]"
110,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(195.6, 201.5]","(3780.0, 4140.0]"
111,Adelie,"(43.1, 45.85]","(19.82, 20.66]","(189.7, 195.6]","(4500.0, 4860.0]"
112,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
113,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(195.6, 201.5]","(4140.0, 4500.0]"
114,Adelie,"(37.6, 40.35]","(20.66, 21.5]","(189.7, 195.6]","(3780.0, 4140.0]"
115,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(195.6, 201.5]","(3780.0, 4140.0]"
116,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(183.8, 189.7]","(2696.4, 3060.0]"
117,Adelie,"(34.85, 37.6]","(19.82, 20.66]","(195.6, 201.5]","(3420.0, 3780.0]"
118,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
119,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(183.8, 189.7]","(3060.0, 3420.0]"
120,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
121,Adelie,"(37.6, 40.35]","(18.98, 19.82]","(195.6, 201.5]","(3420.0, 3780.0]"
122,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(171.941, 177.9]","(3420.0, 3780.0]"
123,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(201.5, 207.4]","(3780.0, 4140.0]"
124,Adelie,"(34.85, 37.6]","(15.62, 16.46]","(183.8, 189.7]","(2696.4, 3060.0]"
125,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
126,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
127,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(4140.0, 4500.0]"
128,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(189.7, 195.6]","(2696.4, 3060.0]"
129,Adelie,"(43.1, 45.85]","(17.3, 18.14]","(207.4, 213.3]","(3780.0, 4140.0]"
130,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
131,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(195.6, 201.5]","(3420.0, 3780.0]"
132,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
133,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(195.6, 201.5]","(4140.0, 4500.0]"
134,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
135,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(189.7, 195.6]","(3780.0, 4140.0]"
136,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
137,Adelie,"(37.6, 40.35]","(19.82, 20.66]","(195.6, 201.5]","(3780.0, 4140.0]"
138,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
139,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(4140.0, 4500.0]"
140,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(189.7, 195.6]","(3060.0, 3420.0]"
141,Adelie,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
142,Adelie,"(32.072, 34.85]","(14.78, 15.62]","(183.8, 189.7]","(2696.4, 3060.0]"
143,Adelie,"(40.35, 43.1]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
144,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(189.7, 195.6]","(2696.4, 3060.0]"
145,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(183.8, 189.7]","(3420.0, 3780.0]"
146,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(4140.0, 4500.0]"
147,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(183.8, 189.7]","(3420.0, 3780.0]"
148,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
149,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
150,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
151,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(195.6, 201.5]","(3780.0, 4140.0]"
152,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
153,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
154,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
155,Chinstrap,"(43.1, 45.85]","(18.14, 18.98]","(183.8, 189.7]","(3420.0, 3780.0]"
156,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(195.6, 201.5]","(3420.0, 3780.0]"
157,Chinstrap,"(43.1, 45.85]","(17.3, 18.14]","(195.6, 201.5]","(3780.0, 4140.0]"
158,Chinstrap,"(45.85, 48.6]","(18.14, 18.98]","(177.9, 183.8]","(3060.0, 3420.0]"
159,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(3420.0, 3780.0]"
160,Chinstrap,"(45.85, 48.6]","(18.14, 18.98]","(189.7, 195.6]","(4140.0, 4500.0]"
161,Chinstrap,"(48.6, 51.35]","(19.82, 20.66]","(195.6, 201.5]","(3420.0, 3780.0]"
162,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3780.0, 4140.0]"
163,Chinstrap,"(51.35, 54.1]","(19.82, 20.66]","(189.7, 195.6]","(3420.0, 3780.0]"
164,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
165,Chinstrap,"(51.35, 54.1]","(17.3, 18.14]","(195.6, 201.5]","(3780.0, 4140.0]"
166,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
167,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
168,Chinstrap,"(48.6, 51.35]","(19.82, 20.66]","(195.6, 201.5]","(3060.0, 3420.0]"
169,Chinstrap,"(56.85, 59.6]","(17.3, 18.14]","(177.9, 183.8]","(3420.0, 3780.0]"
170,Chinstrap,"(45.85, 48.6]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
171,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(189.7, 195.6]","(4140.0, 4500.0]"
172,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(177.9, 183.8]","(3420.0, 3780.0]"
173,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
174,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(183.8, 189.7]","(2696.4, 3060.0]"
175,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(189.7, 195.6]","(3780.0, 4140.0]"
176,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
177,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(195.6, 201.5]","(4140.0, 4500.0]"
178,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(3060.0, 3420.0]"
179,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
180,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
181,Chinstrap,"(51.35, 54.1]","(19.82, 20.66]","(201.5, 207.4]","(4500.0, 4860.0]"
182,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
183,Chinstrap,"(54.1, 56.85]","(20.66, 21.5]","(195.6, 201.5]","(4140.0, 4500.0]"
184,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
185,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(201.5, 207.4]","(3780.0, 4140.0]"
186,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
187,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(195.6, 201.5]","(3780.0, 4140.0]"
188,Chinstrap,"(45.85, 48.6]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
189,Chinstrap,"(51.35, 54.1]","(20.66, 21.5]","(207.4, 213.3]","(4500.0, 4860.0]"
190,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(189.7, 195.6]","(2696.4, 3060.0]"
191,Chinstrap,"(51.35, 54.1]","(19.82, 20.66]","(201.5, 207.4]","(4140.0, 4500.0]"
192,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(3780.0, 4140.0]"
193,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
194,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3420.0, 3780.0]"
195,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
196,Chinstrap,"(48.6, 51.35]","(17.3, 18.14]","(195.6, 201.5]","(3420.0, 3780.0]"
197,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(4140.0, 4500.0]"
198,Chinstrap,"(48.6, 51.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
199,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(4140.0, 4500.0]"
200,Chinstrap,"(51.35, 54.1]","(18.14, 18.98]","(183.8, 189.7]","(3060.0, 3420.0]"
201,Chinstrap,"(48.6, 51.35]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
202,Chinstrap,"(45.85, 48.6]","(15.62, 16.46]","(195.6, 201.5]","(3060.0, 3420.0]"
203,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
204,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
205,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
206,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
207,Chinstrap,"(51.35, 54.1]","(18.14, 18.98]","(195.6, 201.5]","(3420.0, 3780.0]"
208,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3060.0, 3420.0]"
209,Chinstrap,"(48.6, 51.35]","(19.82, 20.66]","(201.5, 207.4]","(3780.0, 4140.0]"
210,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(201.5, 207.4]","(3780.0, 4140.0]"
211,Chinstrap,"(43.1, 45.85]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
212,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
213,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
214,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
215,Chinstrap,"(54.1, 56.85]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
216,Chinstrap,"(43.1, 45.85]","(17.3, 18.14]","(201.5, 207.4]","(3060.0, 3420.0]"
217,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
218,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(3780.0, 4140.0]"
219,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(3420.0, 3780.0]"
220,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
221,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
222,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
223,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(213.3, 219.2]","(5580.0, 5940.0]"
224,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(5220.0, 5580.0]"
225,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(207.4, 213.3]","(4500.0, 4860.0]"
226,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
227,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
228,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
229,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
230,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
231,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(213.3, 219.2]","(5220.0, 5580.0]"
232,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
233,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(5580.0, 5940.0]"
234,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
235,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(213.3, 219.2]","(5580.0, 5940.0]"
236,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
237,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5940.0, 6300.0]"
238,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
239,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
240,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(213.3, 219.2]","(5580.0, 5940.0]"
241,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(4860.0, 5220.0]"
242,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
243,Gentoo,"(45.85, 48.6]","(15.62, 16.46]","(213.3, 219.2]","(4860.0, 5220.0]"
244,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(213.3, 219.2]","(4860.0, 5220.0]"
245,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
246,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(3780.0, 4140.0]"
247,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(5580.0, 5940.0]"
248,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
249,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
